title: Toward Cross-Lingual Quality Classifiers for Multilingual Pretraining Data Selection
source: arxiv
year: 2026
document_id: toward-cross-lingual-quality-classifiers-for-multilingual-pretraining-data-selection
authors: Yassine Turki; Vinko Sabolčec; Bettina Messmer; Martin Jaggi
page: 4
section: a-datasetcounts
chunk: 72
source_ref: https://arxiv.org/pdf/2604.20549v1

Published as a paper at 3rd DATA-FM workshop @ ICLR 2026, Brazil.
Table 11 – Continued from previous page
Language OA MMLU Inc Tag Euro Wiki AH AC WQA Total
fas_Arab 0 0 548 184 0 7,504 1,578 3,785,250 5,615 3,800,679
nld_Latn 72 0 551 383 7,683 6,840 1,733 3,736,938 18,723 3,772,923
ukr_Cyrl 821 0 550 323 5,191 0 522 3,729,748 12,979 3,750,134
ces_Latn 12 0 0 179 4,105 6,793 0 3,719,214 11,203 3,741,506
heb_Hebr 24 0 550 120 0 6,916 0 3,658,066 17,229 3,682,905
cmn_Hani 0 14,042 545 5,338 27,507 9,368 4,909 3,606,935 0 3,668,644
hun_Latn 113 0 550 214 4,010 7,096 98 3,637,911 14,320 3,664,312
swe_Latn 1 0 0 256 6,476 6,524 1,310 3,632,622 14,650 3,661,839
tur_Latn 37 0 548 406 0 7,084 4,046 3,628,109 18,422 3,658,652
kor_Hang 20 14,042 500 1,609 2,905 7,343 361 3,605,894 17,616 3,650,290
cat_Latn 1,194 0 0 73 223 7,209 0 3,625,537 15,438 3,649,674
srp_Cyrl 0 0 550 6 0 7,529 152 3,636,573 0 3,644,810
ben_Beng 1 14,042 548 0 0 7,609 1,534 3,601,287 8,532 3,633,553
vie_Latn 203 0 550 429 0 7,040 8,676 3,613,270 0 3,630,168
ind_Latn 12 14,042 550 240 0 0 786 3,610,078 0 3,625,708
ron_Latn 0 0 0 71 3,993 7,170 0 3,602,212 11,188 3,624,634
bul_Cyrl 0 0 550 56 210 7,221 0 3,602,878 11,20
